booking_id,hotel,is_canceled,lead_time,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
BKG1000,City Hotel,0,197,2025-04-29,2,2,2,2,0,BB,ITA,Corporate,TA/TO,0,1,A,E,3,No Deposit,5,Transient,54.46,1,4
BKG1001,Resort Hotel,0,133,2025-02-11,1,4,1,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,A,H,3,No Deposit,5,Group,60.76,0,0
BKG1002,City Hotel,1,66,2025-01-12,2,2,2,1,0,BB,ITA,Corporate,Direct,0,1,G,C,0,No Deposit,5,Transient-Party,148.98,0,3
BKG1003,City Hotel,0,178,2024-11-21,1,3,4,1,1,BB,ITA,Direct,Direct,0,0,H,F,1,Non Refund,2,Transient,114.74,0,1
BKG1004,City Hotel,0,41,2025-02-27,1,3,3,0,0,BB,PRT,Direct,GDS,0,1,D,G,3,No Deposit,9,Transient-Party,164.54,0,2
BKG1005,Resort Hotel,0,14,2025-02-03,1,2,4,0,0,HB,DEU,Corporate,Corporate,0,0,A,E,0,No Deposit,0,Transient-Party,198.89,0,0
BKG1006,City Hotel,1,110,2025-01-01,0,5,2,0,0,BB,PRT,Offline TA/TO,Direct,0,2,G,H,0,No Deposit,3,Group,148.86,1,0
BKG1007,City Hotel,0,156,2025-01-31,3,4,2,0,0,BB,GBR,Corporate,Corporate,0,1,D,H,0,No Deposit,9,Contract,57.57,0,4
BKG1008,City Hotel,0,288,2025-01-01,2,3,2,0,0,FB,DEU,Online TA,GDS,0,0,H,D,1,No Deposit,5,Group,65.68,0,0
BKG1009,Resort Hotel,0,230,2025-03-17,3,5,2,1,0,BB,USA,Online TA,Corporate,0,1,D,H,0,No Deposit,9,Transient,182.15,0,1
BKG1010,City Hotel,0,156,2025-01-11,2,2,3,0,0,BB,GBR,Online TA,TA/TO,0,1,E,B,1,No Deposit,1,Group,129.12,0,4
BKG1011,City Hotel,1,37,2025-01-09,1,5,1,1,0,BB,ESP,Corporate,Corporate,0,1,C,F,2,No Deposit,6,Group,173.73,0,0
BKG1012,City Hotel,0,96,2024-11-23,0,1,2,0,0,BB,PRT,Corporate,GDS,0,0,F,G,0,No Deposit,6,Transient-Party,178.49,0,2
BKG1013,City Hotel,0,288,2024-08-21,3,3,2,0,0,HB,FRA,Corporate,GDS,0,2,C,B,3,No Deposit,3,Group,189.15,1,5
BKG1014,Resort Hotel,1,253,2025-03-01,0,2,2,0,1,BB,PRT,Online TA,GDS,0,2,C,A,0,No Deposit,3,Transient,192.47,0,1
BKG1015,City Hotel,1,195,2024-08-15,2,4,2,0,0,BB,FRA,Offline TA/TO,Corporate,1,2,E,E,2,No Deposit,0,Contract,133.22,0,2
BKG1016,Resort Hotel,0,85,2025-03-28,0,2,2,1,0,BB,DEU,Direct,TA/TO,0,0,D,H,2,No Deposit,1,Group,101.15,0,2
BKG1017,Resort Hotel,1,321,2024-08-27,0,4,2,0,0,HB,ESP,Corporate,Direct,0,2,D,A,0,Non Refund,8,Group,194.28,0,4
BKG1018,Resort Hotel,0,9,2025-05-29,3,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,A,G,2,No Deposit,9,Contract,132.11,2,3
BKG1019,City Hotel,0,4,2025-05-05,1,5,2,0,0,BB,ESP,Direct,Corporate,0,1,E,F,1,No Deposit,7,Transient,59.64,0,4
BKG1020,Resort Hotel,1,122,2025-07-25,0,5,2,0,0,BB,PRT,Direct,Corporate,0,1,A,B,1,No Deposit,7,Transient,146.42,1,1
BKG1021,City Hotel,1,329,2024-10-27,1,5,3,0,0,HB,FRA,Direct,Direct,0,2,E,B,0,No Deposit,8,Group,138.15,0,1
BKG1022,Resort Hotel,1,352,2025-03-12,2,1,4,0,0,BB,DEU,Offline TA/TO,Corporate,0,0,A,E,1,No Deposit,6,Transient-Party,184.37,0,4
BKG1023,Resort Hotel,1,117,2024-08-28,0,4,2,2,0,FB,ESP,Offline TA/TO,GDS,1,1,B,F,1,Refundable,8,Group,147.98,1,3
BKG1024,Resort Hotel,0,293,2025-02-12,3,5,2,0,0,FB,ITA,Online TA,GDS,1,0,G,H,3,No Deposit,9,Contract,102.36,0,4
BKG1025,Resort Hotel,0,158,2025-07-28,2,1,2,1,0,FB,GBR,Offline TA/TO,GDS,0,0,C,D,0,No Deposit,1,Contract,194.93,0,1
BKG1026,Resort Hotel,1,302,2024-12-07,2,4,2,0,0,BB,GBR,Offline TA/TO,GDS,0,1,C,D,2,No Deposit,5,Contract,170.24,0,3
